,date,삼성전자_vol_exch,삼성전자_price_end,삼성전자_price_high,삼성전자_price_low,usage
468,2020.11.19,0.14183712701214157,0.5070028011204482,0.4594594594594593,0.5137701804368472,train
469,2020.11.20,0.12412334039188007,0.5088702147525677,0.4662162162162161,0.5137701804368472,train
470,2020.11.23,0.2645862708211859,0.5611577964519141,0.5101351351351352,0.5289648622981956,train
471,2020.11.24,0.32307122662647525,0.5648926237161531,0.5388513513513512,0.5726495726495727,train
472,2020.11.25,0.3264336386205829,0.5443510737628385,0.518581081081081,0.5631528964862299,train
473,2020.11.26,0.17016126003592613,0.5704948646125116,0.5135135135135135,0.5536562203228871,train
474,2020.11.27,0.11242075433000039,0.5742296918767507,0.5202702702702703,0.5840455840455842,train
475,2020.11.30,0.45872697775727733,0.546218487394958,0.5236486486486486,0.5669515669515669,train
476,2020.12.01,0.20862300177581639,0.5667600373482726,0.518581081081081,0.5745489078822413,train
477,2020.12.02,0.29449959549309435,0.5985060690943045,0.545608108108108,0.597340930674264,train
478,2020.12.03,0.2243485147773484,0.6022408963585435,0.5557432432432431,0.6163342830009498,train
479,2020.12.04,0.27618276797089475,0.6358543417366946,0.5827702702702703,0.6315289648622983,train
480,2020.12.07,0.2803732741808971,0.661998132586368,0.606418918918919,0.6657169990503325,train
481,2020.12.08,0.23974262943993968,0.6395891690009337,0.5962837837837837,0.6600189933523267,train
482,2020.12.09,0.22900519287355386,0.680672268907563,0.6131756756756755,0.6676163342830009,train
483,2020.12.10,0.4129981746374135,0.661998132586368,0.6114864864864865,0.6771130104463438,train
484,2020.12.11,0.16391384197322534,0.6713352007469655,0.6114864864864865,0.6885090218423552,train
485,2020.12.14,0.1991147204494882,0.6788048552754435,0.6233108108108109,0.6904083570750238,train
486,2020.12.15,0.19158565566149133,0.6788048552754435,0.6165540540540541,0.6923076923076924,train
487,2020.12.16,0.15256814911670302,0.6788048552754435,0.6233108108108109,0.694207027540361,train
488,2020.12.17,0.2315106513943026,0.669467787114846,0.6097972972972973,0.6790123456790124,train
489,2020.12.18,0.15374333440209986,0.6638655462184875,0.6097972972972973,0.6866096866096866,train
490,2020.12.21,0.1858077971590244,0.6638655462184875,0.6047297297297297,0.6676163342830009,train
491,2020.12.22,0.13851487816375868,0.6507936507936507,0.6013513513513512,0.6695156695156695,train
